date,git_url,other_url,release_date,title,url,weight
2020-06-03,,,2020-06-02,"Feature-weighted elastic net: using ""features of features"" for better prediction",http://arxiv.org/abs/2006.01395v1,564765.0
2020-06-03,,,2020-05-30,Ridge Regularizaton: an Essential Concept in Data Science,http://arxiv.org/abs/2006.00371v1,228472.0
2020-06-03,,,2020-06-02,Image Super-Resolution with Cross-Scale Non-Local Attention and Exhaustive Self-Exemplars Mining,http://arxiv.org/abs/2006.01424v1,160612.0
2020-06-03,,,2020-06-01,Real-Time Face and Landmark Localization for Eyeblink Detection,http://arxiv.org/abs/2006.00816v1,143440.0
2020-06-03,,,2020-05-28,Map-Guided Curriculum Domain Adaptation and Uncertainty-Aware Evaluation for Semantic Nighttime Image Segmentation,http://arxiv.org/abs/2005.14553v1,124806.0
2020-06-03,,,2020-06-01,Interpretable Stochastic Block Influence Model: measuring social influence among homophilous communities,http://arxiv.org/abs/2006.01028v1,124342.0
2020-06-03,,,2020-05-29,UGC-VQA: Benchmarking Blind Video Quality Assessment for User Generated Content,http://arxiv.org/abs/2005.14354v1,100459.0
2020-06-03,,,2020-05-26,Neuro4Neuro: A neural network approach for neural tract segmentation using large-scale population-based diffusion imaging,http://arxiv.org/abs/2005.12838v1,95292.0
2020-06-03,,,2020-06-01,Rethinking Empirical Evaluation of Adversarial Robustness Using First-Order Attack Methods,http://arxiv.org/abs/2006.01304v1,93907.0
2020-06-03,,,2020-06-01,RNNs on Monitoring Physical Activity Energy Expenditure in Older People,http://arxiv.org/abs/2006.01169v1,88138.0
2020-06-03,,,2020-05-28,Bipartite Distance for Shape-Aware Landmark Detection in Spinal X-Ray Images,http://arxiv.org/abs/2005.14330v1,83353.0
2020-06-03,,,2020-05-30,Rethinking Assumptions in Deep Anomaly Detection,http://arxiv.org/abs/2006.00339v1,77597.0
2020-06-03,,,2020-05-28,Joint Total Variation ESTATICS for Robust Multi-Parameter Mapping,http://arxiv.org/abs/2005.14247v1,75425.0
2020-06-03,,,2020-06-01,Acme: A Research Framework for Distributed Reinforcement Learning,http://arxiv.org/abs/2006.00979v1,68747.0
2020-06-03,,,2020-05-27,Euclideanizing Flows: Diffeomorphic Reduction for Learning Stable Dynamical Systems,http://arxiv.org/abs/2005.13143v1,67989.0
2020-06-03,,,2020-06-02,Recapture as You Want,http://arxiv.org/abs/2006.01435v1,63943.0
2020-06-03,,,2020-05-29,Controlling Fairness and Bias in Dynamic Learning-to-Rank,http://arxiv.org/abs/2005.14713v1,62988.0
2020-06-03,,,2020-05-31,Doubly-Stochastic Normalization of the Gaussian Kernel is Robust to Heteroskedastic Noise,http://arxiv.org/abs/2006.00402v1,62597.0
2020-06-03,,,2020-06-01,Attention Word Embedding,http://arxiv.org/abs/2006.00988v1,60193.0
2020-06-03,,,2020-05-27,VarFA: A Variational Factor Analysis Framework For Efficient Bayesian Learning Analytics,http://arxiv.org/abs/2005.13107v1,60193.0
2020-06-03,,,2020-05-27,"Detecting Scatteredly-Distributed, Small, andCritically Important Objects in 3D OncologyImaging via Decision Stratification",http://arxiv.org/abs/2005.13705v1,55118.0
2020-06-03,,,2020-05-31,EEG-TCNet: An Accurate Temporal Convolutional Network for Embedded Motor-Imagery Brain-Machine Interfaces,http://arxiv.org/abs/2006.00622v1,51150.0
2020-06-03,,,2020-05-29,DC-NAS: Divide-and-Conquer Neural Architecture Search,http://arxiv.org/abs/2005.14456v1,49685.0
2020-06-03,,,2020-05-29,HourNAS: Extremely Fast Neural Architecture Search Through an Hourglass Lens,http://arxiv.org/abs/2005.14446v1,49685.0
2020-06-03,,,2020-06-02,DeepCoDA: personalized interpretability for compositional health,http://arxiv.org/abs/2006.01392v1,48079.0
2020-06-03,,,2020-05-27,MOPO: Model-based Offline Policy Optimization,http://arxiv.org/abs/2005.13239v1,47843.0
2020-06-03,,,2020-05-27,Stochastic Security: Adversarial Defense Using Long-Run Dynamics of Energy-Based Models,http://arxiv.org/abs/2005.13525v1,46285.0
2020-06-03,,,2020-05-29,Distributional Random Forests: Heterogeneity Adjustment and Multivariate Distributional Regression,http://arxiv.org/abs/2005.14458v1,45934.0
2020-06-03,,,2020-05-27,D2D: Keypoint Extraction with Describe to Detect Approach,http://arxiv.org/abs/2005.13605v1,44048.0
2020-06-03,,,2020-05-27,Parameter Sharing is Surprisingly Useful for Multi-Agent Deep Reinforcement Learning,http://arxiv.org/abs/2005.13625v1,42029.0
2020-06-03,,,2020-06-01,Analysis of Least Squares Regularized Regression in Reproducing Kernel Krein Spaces,http://arxiv.org/abs/2006.01073v1,41500.0
2020-06-03,,,2020-05-30,Generalizing Random Fourier Features via Generalized Measures,http://arxiv.org/abs/2006.00247v1,41500.0
2020-06-03,,,2020-05-31,Fully probabilistic quasar continua predictions near Lyman-α with conditional neural spline flows,http://arxiv.org/abs/2006.00615v1,38352.0
